day,potable,pozo,lavado
1,96.71788235294117,0.0,10.799999999999999
2,100.9729411764706,311.0647058823532,10.799999999999999
3,0.0,0.0,10.799999999999999
4,399.5315294117647,0.0,10.799999999999999
5,815.0788235294118,69.65435294117647,10.799999999999999
6,1013.2687058823525,417.92611764705885,10.799999999999999
7,0.0,0.0,10.799999999999999
8,782.3442352941178,0.0,10.799999999999999
9,3332.503764705882,2464.7188235294116,10.799999999999999
10,3923.4480000000003,2924.6117647058936,10.799999999999999
11,83438.09152941171,15604.504235294113,10.799999999999999
12,1809.4679999999996,2516.2051764705875,10.799999999999999
13,444.5484705882339,278.61741176470434,10.799999999999999
14,4185.539294117637,0.0,10.799999999999999
15,2614.292470588232,0.0,10.799999999999999
16,2967.765176470577,4780.6094117646735,10.799999999999999
17,2466.6374117646874,975.1609411764703,10.799999999999999
18,10942.87129411764,1462.7414117647056,10.799999999999999
19,10298.348470588233,557.2348235294118,10.799999999999999
20,10135.476705882347,3019.9312941176468,10.799999999999999
21,22732.985647058813,1545.803999999999,10.799999999999999
22,16523.369694117613,7422.564705882348,10.799999999999999
23,5498.006117647058,0.0,10.799999999999999
24,6439.935741176468,417.92611764705777,10.799999999999999
25,1521.2724705882345,306.3049411764587,10.799999999999999
26,1583.5206117647049,0.0,10.799999999999999
27,7769.895788235291,4247.135564705897,10.799999999999999
28,6525.8972705882325,1483.6377176470473,10.799999999999999
29,8044.638541176442,766.1978823529305,10.799999999999999
30,72152.90801176454,16873.912152941128,10.799999999999999
31,1584.4074352941152,800.0709647058712,10.799999999999999
32,868.5052705882308,0.0,10.799999999999999
33,911.8425411764481,738.9447999999919,10.799999999999999
34,861.5677882352935,2316.077552941175,10.799999999999999
35,2568.8252117647035,0.0,10.799999999999999
36,265.0752941176464,41.792611764706294,10.799999999999999
37,5210.957529411756,1126.8638235294113,10.799999999999999
38,4431.70734117646,2785.5331999999985,10.799999999999999
39,6669.790352941167,472.4886941176472,10.799999999999999
40,11290.764047058809,919.135552941169,10.799999999999999
41,18713.946282352896,4599.545458823493,10.799999999999999
42,17187.329094117635,4357.8172823529385,10.799999999999999
43,5597.688858823519,1633.0990470588226,10.799999999999999
44,4390.831035294117,909.1158588235286,10.799999999999999
45,9038.268729411755,2071.3304117647044,10.799999999999999
46,14958.038105882335,2663.2208941176414,10.799999999999999
47,10258.552670588158,4738.866341176458,10.799999999999999
48,9442.244388235295,1914.0170588235287,10.799999999999999
49,6927.63155294116,800.0709647058825,10.799999999999999
50,9804.228458823523,3529.956447058823,10.799999999999999
51,5253.236494117644,909.1158588235286,10.799999999999999
52,6941.0028705882305,1414.1078117647023,10.799999999999999
53,3620.299588235291,1005.8619529411758,10.799999999999999
54,1842.0324470588228,716.7557647058818,10.799999999999999
55,2464.077800000043,758.0715411764708,10.799999999999999
56,3387.4250235294107,758.0715411764708,10.799999999999999
57,3913.4504352941162,800.0709647058825,10.799999999999999
58,72273.59963529397,16575.97172941176,10.799999999999999
59,3.9905882352941178,1077.3206588235143,10.799999999999999
60,25.072847058823225,682.4495058823431,10.799999999999999
61,5413.181105882349,147.02682352941133,10.799999999999999
62,233.47634117646905,0.0,10.799999999999999
63,2849.8701882352843,1270.1926588235206,10.799999999999999
64,1071.4955294117642,748.7454117647054,10.799999999999999
65,2261.1134117647057,0.0,10.799999999999999
66,2157.7868235294045,231.02027058823353,10.799999999999999
67,4311.878164705858,2071.3665882353016,10.799999999999999
68,7385.849411764697,407.99943529411723,10.799999999999999
69,5733.235270588234,1701.6941176470577,10.799999999999999
70,4948.045341176466,1283.381199999999,10.799999999999999
71,6884.38364705882,1565.5585882352925,10.799999999999999
72,5775.879035294108,544.5421176470588,10.799999999999999
73,18706.66023529407,4489.434352941176,10.799999999999999
74,19194.84752941175,4725.369411764705,10.799999999999999
75,10259.493647058809,3132.278588235294,10.799999999999999
76,4379.361882352951,935.842352941179,10.799999999999999
77,6796.539764705879,1733.449411764705,10.799999999999999
78,2319.7030588235266,748.7454117647054,10.799999999999999
79,3560.507999999976,0.0,10.799999999999999
80,5994.386352941161,3199.188705882352,10.799999999999999
81,3326.0607058823507,1527.1228235294043,10.799999999999999
82,1132.4004705882342,0.0,10.799999999999999
83,1958.8545882353412,1178.9345882352932,10.799999999999999
84,3964.3696470588147,0.0,10.799999999999999
85,4429.09929411764,272.2710588235289,10.799999999999999
86,897.2414117647065,0.0,10.799999999999999
87,3209.574823529411,0.0,10.799999999999999
88,1652.796235294117,0.0,10.799999999999999
89,71216.66070588223,17141.574941176445,10.799999999999999
90,2298.440352941134,0.0,10.799999999999999
91,498.9484705882237,1003.9995294117347,10.799999999999999
92,630.8804705882342,0.0,10.799999999999999
93,302.3335294117628,539.0983529411684,10.799999999999999
94,2741.679999999999,867.8639999999995,10.799999999999999
95,285.96282352941165,698.3774117647056,10.799999999999999
96,796.9449411764577,0.0,10.799999999999999
97,0.0,0.0,10.799999999999999
98,2932.1404705882223,3246.835764705882,10.799999999999999
99,3356.282235294105,0.0,10.799999999999999
100,1893.4184705882287,0.0,10.799999999999999
101,1843.0397647058803,459.4574117647061,10.799999999999999
102,4867.4125882352855,1915.4947058823523,10.799999999999999
103,4161.67870588235,0.0,10.799999999999999
104,4118.283411764688,551.3505882352945,10.799999999999999
105,5286.521058823527,0.0,10.799999999999999
106,5239.071529411711,930.5904705882347,10.799999999999999
107,4326.350823529409,1072.067294117647,10.799999999999999
108,7762.530352941172,4869.979764705878,10.799999999999999
109,18277.4654117647,1098.937764705882,10.799999999999999
