day,irr_m3,wash_m3,total_m3
1,96.71788235294117,10.799999999999999,107.51788235294117
2,412.0376470588237,10.799999999999999,422.83764705882373
3,0.0,10.799999999999999,10.799999999999999
4,399.5315294117647,10.799999999999999,410.33152941176473
5,884.7331764705883,10.799999999999999,895.5331764705883
6,1431.1948235294115,10.799999999999999,1441.9948235294114
7,0.0,10.799999999999999,10.799999999999999
8,782.3442352941178,10.799999999999999,793.1442352941177
9,5797.222588235292,10.799999999999999,5808.0225882352925
10,6848.059764705894,10.799999999999999,6858.859764705894
11,99042.59576470588,10.799999999999999,99053.39576470589
12,4325.673176470587,10.799999999999999,4336.4731764705875
13,723.1658823529382,10.799999999999999,733.9658823529381
14,4185.539294117637,10.799999999999999,4196.339294117637
15,2614.292470588232,10.799999999999999,2625.092470588232
16,7748.374588235253,10.799999999999999,7759.174588235253
17,3441.7983529411576,10.799999999999999,3452.598352941158
18,12405.612705882346,10.799999999999999,12416.412705882345
19,10855.583294117645,10.799999999999999,10866.383294117644
20,13155.407999999994,10.799999999999999,13166.207999999993
21,24278.789647058813,10.799999999999999,24289.589647058812
22,23945.93439999995,10.799999999999999,23956.73439999995
23,5498.006117647058,10.799999999999999,5508.806117647058
24,6857.861858823525,10.799999999999999,6868.661858823525
25,1827.5774117646931,10.799999999999999,1838.377411764693
26,1583.5206117647049,10.799999999999999,1594.3206117647048
27,12017.031352941189,10.799999999999999,12027.831352941188
28,8009.53498823528,10.799999999999999,8020.33498823528
29,8810.836423529372,10.799999999999999,8821.636423529371
30,89026.82016470573,10.799999999999999,89037.62016470573
31,2384.4783999999863,10.799999999999999,2395.2783999999865
32,868.5052705882308,10.799999999999999,879.3052705882308
33,1650.7873411764401,10.799999999999999,1661.58734117644
34,3177.6453411764683,10.799999999999999,3188.4453411764684
35,2568.8252117647035,10.799999999999999,2579.6252117647036
36,306.8679058823527,10.799999999999999,317.6679058823527
37,6337.821352941167,10.799999999999999,6348.621352941167
38,7217.240541176458,10.799999999999999,7228.040541176458
39,7142.279047058814,10.799999999999999,7153.0790470588145
40,12209.899599999977,10.799999999999999,12220.699599999976
41,23313.491741176385,10.799999999999999,23324.291741176385
42,21545.146376470573,10.799999999999999,21555.946376470572
43,7230.787905882342,10.799999999999999,7241.587905882342
44,5299.946894117646,10.799999999999999,5310.746894117646
45,11109.59914117646,10.799999999999999,11120.39914117646
46,17621.258999999976,10.799999999999999,17632.058999999976
47,14997.419011764616,10.799999999999999,15008.219011764615
48,11356.261447058821,10.799999999999999,11367.06144705882
49,7727.702517647043,10.799999999999999,7738.5025176470435
50,13334.184905882348,10.799999999999999,13344.984905882347
51,6162.352352941172,10.799999999999999,6173.1523529411725
52,8355.110682352934,10.799999999999999,8365.910682352933
53,4626.161541176467,10.799999999999999,4636.961541176467
54,2558.7882117647046,10.799999999999999,2569.5882117647047
55,3222.1493411765136,10.799999999999999,3232.949341176514
56,4145.496564705882,10.799999999999999,4156.296564705882
57,4713.521399999999,10.799999999999999,4724.321399999999
58,88849.5713647057,10.799999999999999,88860.3713647057
59,1081.3112470588085,10.799999999999999,1092.1112470588084
60,707.5223529411663,10.799999999999999,718.3223529411663
61,5560.20792941176,10.799999999999999,5571.00792941176
62,233.47634117646905,10.799999999999999,244.27634117646906
63,4120.062847058804,10.799999999999999,4130.862847058805
64,1820.2409411764695,10.799999999999999,1831.0409411764695
65,2261.1134117647057,10.799999999999999,2271.913411764706
66,2388.807094117638,10.799999999999999,2399.607094117638
67,6383.244752941159,10.799999999999999,6394.0447529411595
68,7793.8488470588145,10.799999999999999,7804.648847058815
69,7434.929388235292,10.799999999999999,7445.729388235292
70,6231.426541176464,10.799999999999999,6242.226541176464
71,8449.942235294113,10.799999999999999,8460.742235294112
72,6320.421152941167,10.799999999999999,6331.221152941167
73,23196.09458823525,10.799999999999999,23206.89458823525
74,23920.216941176466,10.799999999999999,23931.016941176465
75,13391.772235294104,10.799999999999999,13402.572235294103
76,5315.20423529413,10.799999999999999,5326.00423529413
77,8529.989176470584,10.799999999999999,8540.789176470584
78,3068.448470588232,10.799999999999999,3079.248470588232
79,3560.507999999976,10.799999999999999,3571.3079999999763
80,9193.575058823511,10.799999999999999,9204.37505882351
81,4853.1835294117545,10.799999999999999,4863.983529411755
82,1132.4004705882342,10.799999999999999,1143.200470588234
83,3137.789176470634,10.799999999999999,3148.5891764706344
84,3964.3696470588147,10.799999999999999,3975.169647058815
85,4701.370352941169,10.799999999999999,4712.170352941169
86,897.2414117647065,10.799999999999999,908.0414117647065
87,3209.574823529411,10.799999999999999,3220.374823529411
88,1652.796235294117,10.799999999999999,1663.596235294117
89,88358.23564705862,10.799999999999999,88369.03564705863
90,2298.440352941134,10.799999999999999,2309.240352941134
91,1502.9479999999583,10.799999999999999,1513.7479999999582
92,630.8804705882342,10.799999999999999,641.6804705882341
93,841.4318823529311,10.799999999999999,852.231882352931
94,3609.543999999998,10.799999999999999,3620.3439999999982
95,984.3402352941172,10.799999999999999,995.1402352941171
96,796.9449411764577,10.799999999999999,807.7449411764577
97,0.0,10.799999999999999,10.799999999999999
98,6178.976235294104,10.799999999999999,6189.7762352941045
99,3356.282235294105,10.799999999999999,3367.082235294105
100,1893.4184705882287,10.799999999999999,1904.2184705882287
101,2302.4971764705865,10.799999999999999,2313.2971764705867
102,6782.907294117638,10.799999999999999,6793.707294117638
103,4161.67870588235,10.799999999999999,4172.47870588235
104,4669.633999999983,10.799999999999999,4680.433999999983
105,5286.521058823527,10.799999999999999,5297.321058823527
